u,v,p
1.1004876705719224,0.2539808467275277,0.1642274716256499
1.0530886601350296,0.2107306398053984,0.2233665700061098
0.9872358679526939,0.1829612801151908,0.3050602450758942
0.9337651453836946,0.1838361574127809,0.3649384809214460
0.8701222451723112,0.1569372942073410,0.4329748115941737
0.8136336769988843,0.0931210597164861,0.4922936440611033
0.7903049596757832,0.0000723906663546,0.5163829621990662
0.8135269198685857,-0.0928074939959037,0.4923490706921316
0.8700184430490834,-0.1568035978220750,0.4332644782156740
0.9337405939406831,-0.1837068614684278,0.3650913257114382
0.9871830380796921,-0.1827635686793183,0.3052458685315325
0.0009513825223450,0.0002301434150894,-0.3077633998076604
0.0011937017035848,0.0002933128457175,-0.3162960702167840
0.0007831364234201,0.0002063815217367,-0.3214199527701827
0.0005281623719456,0.0002303609854637,-0.3208403296855765
0.0010105528556681,0.0003470578616762,-0.3231280357707685
0.0001739641956348,0.0001330651998559,-0.3215139031834009
0.0001094555313494,0.0001654971810197,-0.3215024090929731
0.0000396309593121,0.0000784385119276,-0.3248252644484543
0.0001867089626701,0.0003316131513866,-0.3295332003179728
0.0005421924731096,0.0006773970701734,-0.3334774904710250
0.0008246167393081,0.0009480171914440,-0.3326352720595313
0.0007890260744301,0.0010115674641591,-0.3314694855583129
0.0003884674214188,0.0007707555518101,-0.3347000582487442
0.0005584948464793,0.0007610931318285,-0.3370271392312461
0.0005329219769189,0.0008575284622334,-0.3322834902357470
0.0004563158397808,0.0007323475761646,-0.3292400723902567
0.0007338060194806,0.0009883174473080,-0.3251564650679364
0.0010751633452244,0.0012835545699205,-0.3200702651304306
0.0012085928794193,0.0013987977075339,-0.3200205494840060
0.0007993903696442,0.0011022306045511,-0.3194183004689208
0.0001071124249541,0.0003445098849912,-0.3228733133707861
0.0002739984022657,0.0008656484944428,-0.3259581491308560
0.0003541284679894,0.0009801536179707,-0.3373820990721880
0.0001010047110990,0.0005830434672378,-0.3397775203371213
0.0001066766287749,0.0006373423281858,-0.3432720073918016
0.0000429039285513,0.0002563306511015,-0.3551478259177196
-0.0000046473350758,0.0003973259899062,-0.3643957614447570
0.0005275348437562,0.0010638890382035,-0.3701924489010980
0.0009404951015017,0.0016766613564489,-0.3685251952265076
0.0008131008698454,0.0016172923214364,-0.3590544483061840
0.0003526626298603,0.0012171713221784,-0.3546362238596851
0.0006921142541294,0.0016023748097511,-0.3578357672568914
0.0006179928765935,0.0013339960936075,-0.3563265789371033
0.0000581384630380,0.0003971190378252,-0.3630985938524157
0.0000604638488324,0.0007366761108384,-0.3782168632135164
0.0002200077079823,0.0011378911865427,-0.3850287360377496
0.0001348426219527,0.0006974129792882,-0.3924219459679115
0.0004196811275627,0.0008871497512027,-0.3982471322847456
0.0006670046709003,0.0014099586304410,-0.3983307963360992
0.0003549574929630,0.0010981433866408,-0.3918688451772109
