x,y,Object
0.253903,0.0136821,0.0
0.244093,0.0153983,0.0
0.234281,0.0171017,0.0
0.224466,0.018792,0.0
0.214649,0.0204692,0.0
0.20483,0.0221332,0.0
0.195009,0.0237835,0.0
0.185185,0.0254205,0.0
0.175359,0.0270434,0.0
0.165531,0.0286528,0.0
0.1557,0.0302476,0.0
0.145867,0.0318281,0.0
0.136032,0.0333939,0.0
0.126194,0.0349444,0.0
0.116354,0.03648,0.0
0.106511,0.0379994,0.0
0.0966665,0.0395032,0.0
0.086819,0.0409902,0.0
0.076969,0.0424605,0.0
0.0671164,0.0439137,0.0
0.0572612,0.0453487,0.0
0.0474034,0.046766,0.0
0.0375429,0.0481641,0.0
0.0276797,0.0495433,0.0
0.0178137,0.0509025,0.0
0.00794495,0.052241,0.0
-0.00192661,0.0535588,0.0
-0.0118011,0.0548544,0.0
-0.0216785,0.0561279,0.0
-0.0315589,0.057378,0.0
-0.0414423,0.058604,0.0
-0.0513287,0.0598055,0.0
-0.0612182,0.0609809,0.0
-0.0711108,0.0621302,0.0
-0.0810066,0.0632516,0.0
-0.0909056,0.0643447,0.0
-0.100808,0.0654084,0.0
-0.110713,0.0664411,0.0
-0.120622,0.0674424,0.0
-0.130534,0.0684102,0.0
-0.140449,0.0693442,0.0
-0.150368,0.0702423,0.0
-0.16029,0.0711033,0.0
-0.170215,0.0719259,0.0
-0.180143,0.072708,0.0
-0.190075,0.0734486,0.0
-0.200009,0.074145,0.0
-0.209947,0.0747963,0.0
-0.219888,0.0753995,0.0
-0.229832,0.0759531,0.0
-0.239778,0.0764544,0.0
-0.249727,0.0769009,0.0
-0.259679,0.0772899,0.0
-0.269633,0.0776184,0.0
-0.279588,0.0778833,0.0
-0.289545,0.0780809,0.0
-0.299504,0.0782075,0.0
-0.309463,0.0782586,0.0
-0.319422,0.0782297,0.0
-0.32938,0.0781153,0.0
-0.339337,0.0779096,0.0
-0.349292,0.0776058,0.0
-0.359242,0.0771961,0.0
-0.369188,0.0766715,0.0
